Phorophyte,Tree_structure,Wood_density,Deciduousness,Rugosity,Ornamental,Native/Exotic,lat,long,Tillandsia_schiedeana,Tillandsia_juncea,Pleopeltis_1,Tillandsia_fasciculata,Scaphyglottis_micrantha,Tillandsia_caput-medusae,Prosthechea_livida,Campylocentrum_micranthum,Epidendrum_barbeyanum,Asplenium,Pleurothallis_racemiflora,Polypodium,Vittaria,Phlebodium,Ficus_aurea,Ficus_costaricana,Peperomia_angularis,Catopsis_nutans,Hymenophyllum,Pteridophyta,Epidendrum_oerstedii,Pleopeltis_sp2,Hylocereus_costaricensis,Encyclia_ceratistes,Peperomia_galioides,Anthurium_trinervium,Monstera_deliciosa,Werauhia,Ficus_pertusa,Guarianthe_skinneri,Philodendron_anisotomum,Pitcairnia_heterophylla,Epiphyllum_thomasianum,Rhipsalis_micrantha,Selenicereus_wercklei,Maxillaria
Albizia_adinocephala__01,342.5,0.66,0,0.98,0,1,9.938000981,-84.04900398,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
Annona_cherimola_01,401,0.511,0,0.98,1,1,9.937719014,-84.048102,0,4,16,0,0,2,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casuarina_cunninghamia_02,1313.8,0.698,0,0.68,1,0,9.935302008,-84.05263703,1,1,15,3,0,0,0,0,0,0,0,2,7,4,0,4,0,1,3,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Casuarina_cunninghamia_01,1202.9,0.698,0,0.7,1,0,9.93869802,-84.05185299,41,0,0,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedrela_odorata_01,1907.7,0.447,0.33,0.77,0,1,9.936297024,-84.04990797,15,18,2,2,6,1,5,0,13,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cedrela_odorata_02,1592.6,0.447,0.33,0.8,0,1,9.936295012,-84.04996203,25,7,3,0,29,0,0,0,2,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedrela_odorata_03,1948.5,0.447,0.33,0.8,0,1,9.936333988,-84.05002196,7,16,1,1,137,0,1,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cedrela_odorata_04,2439.5,0.447,0.33,0.77,0,1,9.936325019,-84.05007804,13,19,2,3,12,0,34,0,11,0,0,5,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cedrela_odorata_05,924.5,0.447,0.33,0.7,0,1,9.938036017,-84.05118998,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedrela_odorata_06,1674.6,0.447,0.33,0.7,0,1,9.937945995,-84.05125796,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedrela_odorata_07,1065.3,0.447,0.33,0.83,0,1,9.937959993,-84.05129802,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedrela_odorata_08,1239.3,0.447,0.33,0.95,0,1,9.938609004,-84.05152501,17,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cojoba_arborea_01,38.5,0.61,0.21,0.93,1,1,9.935748009,-84.05160396,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cojoba_arborea_02,108.6,0.61,0.17,0.93,1,1,9.93625503,-84.05062596,1,1,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cojoba_arborea_03,182,0.61,0.17,0.97,1,1,9.936400959,-84.05100499,2,1,17,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cojoba_arborea_04,119.5,0.61,0.17,0.99,1,1,9.936630037,-84.05029404,0,1,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cojoba_arborea_06,182.1,0.61,0.17,0.87,1,1,9.936212031,-84.04832102,0,1,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cojoba_arborea_07,214.8,0.61,0.17,0.97,1,1,9.93764299,-84.04863199,0,8,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conostegia_xalapensis_01,191.5,0.576,0,0.9,0,1,9.93500202,-84.05299896,9,10,70,7,11,0,7,27,6,0,0,2,3,3,2,1,0,2,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
Cordia_eriostigma_01,1714.6,0.445,0,0.95,0,1,9.934577979,-84.05372299,0,24,2,11,0,0,0,2,8,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
Cordia_eriostigma_02,717.2,0.445,0,1,0,1,9.936865987,-84.04891103,0,3,38,0,0,0,8,3,2,13,0,2,1,0,3,2,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delonix_regia_01,99.9,0.579,0.17,0.99,1,0,9.937456995,-84.04763203,1,2,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterolobium_cyclocarpum_01,1405.7,0.39,0.17,0.92,1,1,9.936858024,-84.05377102,4,17,33,0,0,6,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterolobium_cyclocarpum_02,960.4,0.39,0.17,0.97,1,1,9.938887032,-84.05036998,62,121,0,31,4,26,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eugenia_01,46,0.65,0.125,0.97,1,1,9.936919967,-84.04959599,3,3,13,0,0,0,0,2,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eugenia_02,53.2,0.65,0.125,0.94,1,1,9.937032033,-84.04954,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eugenia_03,81.5,0.65,0.125,0.95,1,1,9.937197994,-84.04967403,0,9,14,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eugenia_04,29.1,0.65,0.125,0.95,1,1,9.937246023,-84.04964302,0,4,10,0,0,1,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eugenia_05,36.3,0.65,0.125,0.97,1,1,9.937321963,-84.04964603,0,5,14,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ficus_benjamina_01,1437.7,0.459,0,0.97,1,0,9.935597973,-84.04984997,97,40,2,43,0,5,1,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ficus_costaricana_01,1427.6,0.377,0,0.98,0,1,9.93638101,-84.05138402,0,0,15,0,0,0,2,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ficus_aurea_01,803,0.44,0.08,0.98,0,1,9.936419986,-84.04885302,6,83,21,38,7,4,16,1,8,30,0,0,0,0,0,0,8,1,0,0,0,0,0,0,6,3,0,0,0,0,1,0,0,1,0,0
Ficus_aurea_02,1569.3,0.44,0.08,0.97,0,1,9.937378038,-84.04944001,0,5,6,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Ficus_aurea_03,1151.3,0.44,0.08,0.96,0,1,9.934878973,-84.05384,17,12,1,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0
Inga_01,171.2,0.498,0,0.97,0,1,9.936268022,-84.05092704,0,2,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
