Origin,Phorophyte,Tree_structure,Wood_density,Deciduousness,Rugosity,T_schiedeana,T_juncea,Pleopeltis_1,T_fasciculata,Scaphyglottis,T_caput-medusae,Prosthechea,Campylocentrum,E_barbeyanum,Asplenium,Pleurothallis,Polypodium,Vittaria,Phlebodium,F_jimenezii,F_costaricana,P_angularis,Catopsis,Hymenophyllum,Pteridophyta,E_oerstedii,Pleopeltis_2,Hylocereus,Encyclia,P_galioides,Anthurium,Monstera,Werauhia,F_pertusa,Guarianthe,Philodendron,Pitcairnia,Epiphyllum,Rhipsalis,Selenocerius,Maxillaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Albizia_adinocephala__01,342.5,0.66,0,0.98,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Annona_cherimola_01,401.0,0.511,0,0.98,0,4,16,0,0,2,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exotic,Casuarina_cunninghamia_02,1313.8,0.698,0,0.68,1,1,15,3,0,0,0,0,0,0,0,2,7,4,0,4,0,1,3,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exotic,Casuarina_cunninghamia_01,1202.9,0.698,0,0.7,41,0,0,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Cedrela_odorata_01,1907.7,0.447,0.33,0.77,15,18,2,2,6,1,5,0,13,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Cedrela_odorata_02,1592.6,0.447,0.33,0.8,25,7,3,0,29,0,0,0,2,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Cedrela_odorata_03,1948.5,0.447,0.33,0.8,7,16,1,1,137,0,1,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Cedrela_odorata_04,2439.5,0.447,0.33,0.77,13,19,2,3,12,0,34,0,11,0,0,5,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Cedrela_odorata_05,924.5,0.447,0.33,0.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Cedrela_odorata_06,1674.6,0.447,0.33,0.7,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Cedrela_odorata_07,1065.3,0.447,0.33,0.83,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
